,image_id,Color_3,R1,G1,B1,R2,G2,B2,cluster_C1,cluster_C2
64,1056.png,"[114.0, 80.0, 55.0]",226.0,165.0,89.0,228.0,211.0,191.0,0,2
65,1057.png,"[148.0, 114.0, 40.0]",182.0,150.0,68.0,206.0,177.0,97.0,0,0
68,106.png,"[129.0, 63.0, 130.0]",241.0,187.0,85.0,156.0,228.0,239.0,0,2
80,1070.png,"[209.0, 224.0, 98.0]",228.0,239.0,141.0,165.0,170.0,42.0,0,0
85,1075.png,"[235.0, 229.0, 219.0]",194.0,131.0,23.0,226.0,179.0,54.0,0,0
106,1094.png,"[104.0, 73.0, 40.0]",199.0,141.0,36.0,238.0,182.0,70.0,0,0
142,1126.png,"[158.0, 111.0, 44.0]",216.0,186.0,101.0,239.0,218.0,135.0,0,2
163,1145.png,"[222.0, 196.0, 160.0]",127.0,166.0,37.0,46.0,43.0,42.0,0,3
166,1148.png,"[47.0, 42.0, 42.0]",204.0,220.0,98.0,96.0,91.0,95.0,0,1
191,1170.png,"[234.0, 212.0, 171.0]",204.0,190.0,36.0,218.0,211.0,61.0,0,0
196,1175.png,"[191.0, 208.0, 103.0]",173.0,191.0,80.0,129.0,147.0,42.0,0,4
198,1177.png,"[220.0, 170.0, 128.0]",184.0,132.0,90.0,102.0,69.0,42.0,0,3
206,1184.png,"[232.0, 208.0, 192.0]",202.0,109.0,69.0,169.0,73.0,41.0,0,4
217,1194.png,"[77.0, 46.0, 36.0]",174.0,122.0,111.0,206.0,164.0,155.0,0,0
239,1213.png,"[230.0, 181.0, 131.0]",242.0,167.0,4.0,192.0,124.0,31.0,0,4
243,1217.png,"[242.0, 190.0, 144.0]",249.0,215.0,65.0,174.0,118.0,50.0,0,0
284,1254.png,"[242.0, 238.0, 219.0]",247.0,228.0,131.0,251.0,238.0,155.0,0,2
303,1271.png,"[184.0, 191.0, 197.0]",197.0,139.0,102.0,77.0,14.0,25.0,0,3
321,1288.png,"[223.0, 210.0, 202.0]",186.0,133.0,115.0,104.0,92.0,107.0,0,1
343,1307.png,"[57.0, 41.0, 38.0]",241.0,143.0,19.0,214.0,204.0,210.0,0,2
344,1308.png,"[220.0, 172.0, 97.0]",236.0,202.0,113.0,172.0,120.0,64.0,0,0
347,1310.png,"[187.0, 96.0, 12.0]",228.0,151.0,9.0,219.0,161.0,114.0,0,0
374,1335.png,"[222.0, 176.0, 136.0]",160.0,135.0,101.0,203.0,209.0,192.0,0,2
392,1351.png,"[200.0, 224.0, 94.0]",170.0,200.0,62.0,91.0,97.0,34.0,0,4
431,1387.png,"[211.0, 141.0, 40.0]",233.0,172.0,63.0,235.0,233.0,226.0,0,2
444,1399.png,"[216.0, 162.0, 112.0]",216.0,166.0,61.0,182.0,124.0,44.0,0,0
473,1424.png,"[200.0, 215.0, 183.0]",197.0,235.0,75.0,54.0,65.0,63.0,0,3
490,144.png,"[207.0, 195.0, 163.0]",233.0,204.0,70.0,156.0,123.0,44.0,0,4
498,1447.png,"[240.0, 190.0, 60.0]",248.0,216.0,99.0,241.0,231.0,212.0,0,2
509,1457.png,"[112.0, 60.0, 20.0]",185.0,119.0,55.0,224.0,155.0,108.0,0,0
553,1498.png,"[196.0, 185.0, 166.0]",224.0,185.0,63.0,124.0,112.0,102.0,0,1
585,1526.png,"[239.0, 235.0, 230.0]",166.0,134.0,104.0,189.0,223.0,213.0,0,2
595,1535.png,"[235.0, 228.0, 168.0]",216.0,174.0,116.0,113.0,95.0,60.0,0,4
635,1571.png,"[104.0, 109.0, 117.0]",180.0,131.0,54.0,209.0,195.0,174.0,0,2
645,1580.png,"[209.0, 163.0, 121.0]",247.0,186.0,83.0,113.0,77.0,50.0,0,4
662,1596.png,"[182.0, 112.0, 37.0]",238.0,178.0,40.0,232.0,189.0,116.0,0,0
664,1598.png,"[217.0, 203.0, 178.0]",220.0,183.0,84.0,163.0,134.0,82.0,0,0
665,1599.png,"[171.0, 174.0, 173.0]",248.0,234.0,117.0,208.0,151.0,77.0,0,0
723,1650.png,"[182.0, 166.0, 149.0]",232.0,193.0,98.0,141.0,92.0,51.0,0,4
733,166.png,"[84.0, 46.0, 41.0]",187.0,128.0,113.0,240.0,182.0,176.0,0,2
748,1673.png,"[219.0, 202.0, 137.0]",253.0,234.0,35.0,239.0,234.0,221.0,0,2
749,1674.png,"[204.0, 180.0, 70.0]",224.0,210.0,111.0,233.0,223.0,146.0,0,2
836,1752.png,"[216.0, 150.0, 123.0]",250.0,91.0,13.0,88.0,30.0,15.0,0,3
891,1801.png,"[189.0, 143.0, 79.0]",210.0,227.0,65.0,227.0,178.0,136.0,0,0
917,1825.png,"[229.0, 171.0, 128.0]",183.0,106.0,79.0,35.0,33.0,30.0,0,3
922,183.png,"[122.0, 81.0, 34.0]",248.0,195.0,80.0,202.0,147.0,69.0,0,0
926,1833.png,"[121.0, 117.0, 112.0]",236.0,162.0,25.0,232.0,214.0,185.0,0,2
940,1846.png,"[201.0, 154.0, 131.0]",248.0,117.0,67.0,230.0,95.0,51.0,0,0
949,1854.png,"[234.0, 211.0, 128.0]",211.0,181.0,83.0,194.0,152.0,43.0,0,0
968,1871.png,"[218.0, 201.0, 183.0]",190.0,136.0,98.0,33.0,30.0,41.0,0,3
1010,1909.png,"[247.0, 218.0, 97.0]",249.0,234.0,135.0,132.0,115.0,69.0,0,4
1026,1923.png,"[64.0, 45.0, 29.0]",179.0,116.0,71.0,234.0,227.0,215.0,0,2
1042,1938.png,"[54.0, 47.0, 48.0]",164.0,124.0,104.0,225.0,189.0,165.0,0,2
1045,1940.png,"[245.0, 201.0, 161.0]",244.0,101.0,26.0,242.0,143.0,75.0,0,0
1048,1943.png,"[238.0, 221.0, 186.0]",212.0,160.0,81.0,246.0,220.0,132.0,0,2
1060,1954.png,"[208.0, 124.0, 77.0]",250.0,107.0,20.0,243.0,172.0,125.0,0,0
1081,1973.png,"[145.0, 82.0, 46.0]",176.0,117.0,77.0,91.0,39.0,17.0,0,3
1124,2010.png,"[221.0, 193.0, 159.0]",169.0,103.0,59.0,54.0,35.0,24.0,0,3
1128,2014.png,"[236.0, 231.0, 210.0]",250.0,203.0,95.0,80.0,62.0,31.0,0,3
1129,2015.png,"[125.0, 73.0, 27.0]",209.0,136.0,43.0,239.0,169.0,57.0,0,0
1159,2042.png,"[52.0, 74.0, 53.0]",176.0,126.0,98.0,230.0,224.0,218.0,0,2
1164,2047.png,"[73.0, 49.0, 40.0]",187.0,108.0,79.0,226.0,211.0,197.0,0,2
1172,2054.png,"[240.0, 197.0, 53.0]",215.0,151.0,23.0,203.0,195.0,183.0,0,2
1198,2079.png,"[213.0, 167.0, 66.0]",198.0,138.0,19.0,227.0,202.0,151.0,0,2
1199,208.png,"[229.0, 177.0, 77.0]",190.0,127.0,34.0,48.0,38.0,46.0,0,3
1236,2112.png,"[183.0, 113.0, 37.0]",233.0,178.0,80.0,93.0,108.0,121.0,0,1
1282,2154.png,"[207.0, 154.0, 40.0]",234.0,188.0,70.0,161.0,98.0,11.0,0,4
1309,2179.png,"[121.0, 86.0, 46.0]",196.0,164.0,65.0,175.0,140.0,53.0,0,0
1333,220.png,"[102.0, 70.0, 53.0]",169.0,130.0,105.0,213.0,184.0,162.0,0,2
1348,2213.png,"[221.0, 184.0, 148.0]",187.0,141.0,103.0,239.0,208.0,176.0,0,2
1361,223.png,"[106.0, 97.0, 40.0]",250.0,245.0,112.0,186.0,178.0,82.0,0,0
1404,262.png,"[128.0, 74.0, 39.0]",181.0,138.0,105.0,77.0,35.0,12.0,0,3
1413,270.png,"[223.0, 177.0, 160.0]",172.0,109.0,65.0,54.0,54.0,71.0,0,3
1415,272.png,"[229.0, 190.0, 120.0]",191.0,130.0,61.0,25.0,22.0,20.0,0,3
1454,307.png,"[149.0, 138.0, 48.0]",205.0,244.0,126.0,180.0,231.0,89.0,0,0
1467,319.png,"[86.0, 52.0, 31.0]",191.0,131.0,54.0,226.0,215.0,198.0,0,2
1470,321.png,"[235.0, 224.0, 215.0]",226.0,159.0,8.0,178.0,119.0,9.0,0,4
1475,326.png,"[125.0, 79.0, 21.0]",215.0,177.0,82.0,182.0,131.0,27.0,0,4
1485,335.png,"[215.0, 182.0, 68.0]",237.0,214.0,110.0,238.0,228.0,217.0,0,2
1499,348.png,"[221.0, 211.0, 175.0]",237.0,209.0,55.0,79.0,64.0,29.0,0,3
1534,38.png,"[128.0, 119.0, 101.0]",204.0,229.0,70.0,165.0,169.0,168.0,0,0
1539,384.png,"[188.0, 168.0, 156.0]",174.0,120.0,102.0,210.0,204.0,197.0,0,2
1547,391.png,"[208.0, 186.0, 170.0]",193.0,134.0,96.0,227.0,222.0,213.0,0,2
1550,394.png,"[236.0, 220.0, 179.0]",208.0,181.0,111.0,170.0,135.0,55.0,0,0
1561,403.png,"[87.0, 53.0, 22.0]",236.0,180.0,64.0,225.0,158.0,45.0,0,0
1563,405.png,"[226.0, 175.0, 135.0]",181.0,129.0,94.0,31.0,28.0,24.0,0,3
1575,416.png,"[218.0, 187.0, 123.0]",209.0,166.0,71.0,152.0,114.0,61.0,0,4
1582,422.png,"[233.0, 208.0, 196.0]",196.0,130.0,101.0,121.0,17.0,28.0,0,3
1583,423.png,"[221.0, 221.0, 220.0]",174.0,125.0,96.0,39.0,38.0,37.0,0,3
1594,433.png,"[145.0, 112.0, 80.0]",176.0,139.0,103.0,107.0,80.0,54.0,0,4
1597,436.png,"[133.0, 74.0, 64.0]",180.0,124.0,112.0,228.0,178.0,162.0,0,2
1610,448.png,"[227.0, 222.0, 217.0]",219.0,198.0,114.0,179.0,172.0,38.0,0,0
1645,48.png,"[162.0, 42.0, 36.0]",166.0,121.0,106.0,213.0,182.0,168.0,0,2
1654,488.png,"[222.0, 180.0, 141.0]",218.0,162.0,18.0,105.0,65.0,26.0,0,3
1680,510.png,"[217.0, 160.0, 127.0]",234.0,127.0,44.0,99.0,114.0,151.0,0,1
1701,53.png,"[144.0, 93.0, 60.0]",190.0,141.0,97.0,211.0,171.0,125.0,0,0
1712,54.png,"[208.0, 175.0, 139.0]",172.0,129.0,95.0,236.0,213.0,179.0,0,2
1743,568.png,"[209.0, 201.0, 190.0]",173.0,130.0,102.0,227.0,223.0,216.0,0,2
1752,576.png,"[143.0, 83.0, 26.0]",207.0,145.0,59.0,230.0,192.0,160.0,0,2
1754,578.png,"[195.0, 153.0, 97.0]",232.0,162.0,23.0,225.0,215.0,181.0,0,2
1762,585.png,"[223.0, 205.0, 196.0]",181.0,125.0,113.0,140.0,23.0,28.0,0,3
1768,590.png,"[155.0, 146.0, 103.0]",220.0,208.0,137.0,45.0,43.0,34.0,0,3
1774,596.png,"[190.0, 120.0, 16.0]",238.0,186.0,43.0,207.0,146.0,107.0,0,0
1797,616.png,"[223.0, 179.0, 106.0]",210.0,138.0,29.0,146.0,71.0,31.0,0,4
1805,623.png,"[114.0, 56.0, 59.0]",233.0,175.0,50.0,207.0,168.0,156.0,0,0
1816,633.png,"[122.0, 66.0, 42.0]",185.0,113.0,51.0,224.0,170.0,71.0,0,0
1842,657.png,"[238.0, 169.0, 115.0]",209.0,133.0,72.0,251.0,197.0,48.0,0,0
1849,663.png,"[219.0, 156.0, 113.0]",206.0,111.0,88.0,234.0,130.0,116.0,0,0
1856,67.png,"[139.0, 94.0, 74.0]",168.0,125.0,102.0,216.0,172.0,150.0,0,0
1863,676.png,"[217.0, 169.0, 62.0]",190.0,131.0,33.0,232.0,225.0,210.0,0,2
1924,730.png,"[123.0, 125.0, 135.0]",191.0,127.0,89.0,32.0,27.0,25.0,0,3
1936,741.png,"[154.0, 66.0, 41.0]",201.0,105.0,70.0,74.0,20.0,11.0,0,3
1943,748.png,"[181.0, 118.0, 25.0]",213.0,148.0,32.0,227.0,219.0,203.0,0,2
1951,755.png,"[121.0, 68.0, 27.0]",232.0,171.0,85.0,195.0,130.0,55.0,0,0
1959,762.png,"[79.0, 62.0, 43.0]",162.0,128.0,108.0,215.0,196.0,181.0,0,2
1979,780.png,"[193.0, 145.0, 54.0]",228.0,189.0,90.0,240.0,206.0,164.0,0,2
1992,792.png,"[89.0, 125.0, 16.0]",158.0,195.0,68.0,191.0,227.0,111.0,0,0
2023,82.png,"[214.0, 223.0, 181.0]",187.0,245.0,97.0,170.0,200.0,42.0,0,0
2025,821.png,"[182.0, 161.0, 51.0]",220.0,200.0,76.0,234.0,230.0,225.0,0,2
2050,844.png,"[218.0, 214.0, 188.0]",235.0,206.0,95.0,188.0,146.0,82.0,0,0
2054,848.png,"[115.0, 75.0, 51.0]",182.0,145.0,107.0,209.0,181.0,147.0,0,0
2132,918.png,"[232.0, 165.0, 119.0]",203.0,126.0,78.0,244.0,195.0,160.0,0,2
2135,920.png,"[113.0, 62.0, 31.0]",227.0,146.0,42.0,247.0,188.0,143.0,0,2
2174,957.png,"[126.0, 105.0, 16.0]",173.0,152.0,22.0,98.0,129.0,149.0,0,1
2186,968.png,"[93.0, 57.0, 41.0]",184.0,126.0,96.0,203.0,196.0,182.0,0,2
2195,976.png,"[111.0, 82.0, 65.0]",181.0,141.0,114.0,37.0,22.0,16.0,0,3
2216,995.png,"[236.0, 224.0, 206.0]",242.0,189.0,55.0,83.0,51.0,21.0,0,3
2220,999.png,"[213.0, 213.0, 201.0]",171.0,143.0,51.0,28.0,121.0,172.0,0,1
3,1000.png,"[143.0, 160.0, 170.0]",130.0,121.0,114.0,182.0,194.0,201.0,1,2
7,1004.png,"[150.0, 155.0, 133.0]",119.0,118.0,94.0,198.0,193.0,190.0,1,3
18,1014.png,"[203.0, 187.0, 180.0]",131.0,109.0,103.0,46.0,36.0,32.0,1,4
20,1016.png,"[61.0, 31.0, 29.0]",115.0,81.0,75.0,197.0,175.0,167.0,1,2
23,1019.png,"[121.0, 144.0, 109.0]",45.0,94.0,47.0,206.0,218.0,192.0,1,3
28,1023.png,"[200.0, 177.0, 170.0]",109.0,86.0,87.0,33.0,31.0,43.0,1,4
35,103.png,"[215.0, 174.0, 106.0]",95.0,118.0,145.0,55.0,41.0,30.0,1,4
43,1037.png,"[15.0, 48.0, 84.0]",20.0,86.0,150.0,204.0,165.0,151.0,1,2
62,1054.png,"[99.0, 114.0, 139.0]",62.0,81.0,111.0,28.0,34.0,44.0,1,4
73,1064.png,"[176.0, 130.0, 96.0]",136.0,78.0,47.0,215.0,183.0,150.0,1,2
74,1065.png,"[220.0, 193.0, 176.0]",108.0,129.0,122.0,48.0,42.0,44.0,1,4
79,107.png,"[173.0, 186.0, 206.0]",119.0,131.0,154.0,69.0,79.0,97.0,1,1
82,1072.png,"[162.0, 198.0, 181.0]",92.0,142.0,121.0,26.0,98.0,74.0,1,1
90,108.png,"[211.0, 183.0, 148.0]",94.0,88.0,97.0,156.0,138.0,127.0,1,5
101,109.png,"[220.0, 160.0, 129.0]",129.0,64.0,42.0,196.0,118.0,79.0,1,0
109,1097.png,"[181.0, 189.0, 186.0]",116.0,133.0,132.0,225.0,233.0,233.0,1,3
111,1099.png,"[189.0, 181.0, 175.0]",49.0,54.0,84.0,39.0,43.0,69.0,1,1
114,1100.png,"[184.0, 178.0, 157.0]",91.0,111.0,141.0,210.0,223.0,210.0,1,3
115,1101.png,"[155.0, 151.0, 148.0]",122.0,118.0,115.0,74.0,71.0,68.0,1,1
119,1105.png,"[209.0, 187.0, 171.0]",141.0,118.0,105.0,33.0,32.0,42.0,1,4
125,1110.png,"[220.0, 203.0, 200.0]",144.0,102.0,103.0,35.0,34.0,76.0,1,1
127,1112.png,"[248.0, 248.0, 247.0]",135.0,136.0,130.0,75.0,68.0,61.0,1,1
128,1113.png,"[179.0, 174.0, 171.0]",97.0,94.0,92.0,39.0,38.0,38.0,1,4
131,1116.png,"[195.0, 191.0, 188.0]",103.0,97.0,94.0,29.0,25.0,23.0,1,4
136,1120.png,"[88.0, 150.0, 119.0]",40.0,112.0,78.0,146.0,199.0,171.0,1,2
140,1124.png,"[195.0, 171.0, 159.0]",110.0,88.0,79.0,24.0,22.0,18.0,1,4
150,1133.png,"[225.0, 217.0, 210.0]",137.0,144.0,153.0,71.0,35.0,35.0,1,4
